Order ID,Category,Sub-Category,Quantity,Sales
CA-2016-152156,Furniture,Bookcases,2,261.96
CA-2016-152156,Furniture,Chairs,3,731.94
CA-2016-138688,Office Supplies,Labels,2,14.62
US-2015-108966,Furniture,Tables,5,957.5775
US-2015-108966,Office Supplies,Storage,2,22.368
CA-2014-115812,Furniture,Furnishings,7,48.86
CA-2014-115812,Office Supplies,Art,4,7.28
CA-2014-115812,Technology,Phones,6,907.152
CA-2014-115812,Office Supplies,Binders,3,18.504
CA-2014-115812,Office Supplies,Appliances,5,114.9
CA-2014-115812,Furniture,Tables,9,1706.184
CA-2014-115812,Technology,Phones,4,911.424
CA-2017-114412,Office Supplies,Paper,3,15.552
CA-2016-161389,Office Supplies,Binders,3,407.976
US-2015-118983,Office Supplies,Appliances,5,68.81
US-2015-118983,Office Supplies,Binders,3,2.544
CA-2014-105893,Office Supplies,Storage,6,665.88
CA-2014-167164,Office Supplies,Storage,2,55.5
CA-2014-143336,Office Supplies,Art,2,8.56
CA-2014-143336,Technology,Phones,3,213.48
CA-2014-143336,Office Supplies,Binders,4,22.72
CA-2016-137330,Office Supplies,Art,7,19.46
CA-2016-137330,Office Supplies,Appliances,7,60.34
US-2017-156909,Furniture,Chairs,2,71.372
CA-2015-106320,Furniture,Tables,3,1044.63
CA-2016-121755,Office Supplies,Binders,2,11.648
CA-2016-121755,Technology,Accessories,3,90.57
US-2015-150630,Furniture,Bookcases,7,3083.43
US-2015-150630,Office Supplies,Binders,2,9.618
US-2015-150630,Furniture,Furnishings,3,124.2
US-2015-150630,Office Supplies,Envelopes,2,3.264
US-2015-150630,Office Supplies,Art,6,86.304
US-2015-150630,Office Supplies,Binders,6,6.858
US-2015-150630,Office Supplies,Art,2,15.76
CA-2017-107727,Office Supplies,Paper,3,29.472
CA-2016-117590,Technology,Phones,7,1097.544
CA-2016-117590,Furniture,Furnishings,5,190.92
CA-2015-117415,Office Supplies,Envelopes,9,113.328
CA-2015-117415,Furniture,Bookcases,3,532.3992
CA-2015-117415,Furniture,Chairs,3,212.058
CA-2015-117415,Technology,Phones,4,371.168
CA-2017-120999,Technology,Phones,4,147.168
CA-2016-101343,Office Supplies,Storage,2,77.88
CA-2017-139619,Office Supplies,Storage,2,95.616
CA-2016-118255,Technology,Accessories,2,45.98
CA-2016-118255,Office Supplies,Binders,2,17.46
CA-2014-146703,Office Supplies,Storage,4,211.96
CA-2016-169194,Technology,Accessories,3,45.0
CA-2016-169194,Technology,Phones,2,21.8
CA-2015-115742,Office Supplies,Binders,6,38.22
CA-2015-115742,Office Supplies,Labels,6,75.18
CA-2015-115742,Furniture,Furnishings,2,6.16
CA-2015-115742,Furniture,Chairs,1,89.99
CA-2016-105816,Office Supplies,Fasteners,7,15.26
CA-2016-105816,Technology,Phones,5,1029.95
CA-2016-111682,Office Supplies,Storage,6,208.56
CA-2016-111682,Office Supplies,Paper,5,32.4
CA-2016-111682,Furniture,Chairs,5,319.41
CA-2016-111682,Office Supplies,Paper,2,14.56
CA-2016-111682,Technology,Accessories,2,30.0
CA-2016-111682,Office Supplies,Binders,4,48.48
CA-2016-111682,Office Supplies,Art,1,1.68
CA-2015-135545,Technology,Accessories,2,13.98
CA-2015-135545,Office Supplies,Binders,6,25.824
CA-2015-135545,Office Supplies,Paper,3,146.73
CA-2015-135545,Furniture,Furnishings,4,79.76
US-2015-164175,Furniture,Chairs,5,213.115
CA-2014-106376,Office Supplies,Art,8,1113.024
CA-2014-106376,Technology,Phones,4,167.968
CA-2016-119823,Office Supplies,Paper,2,75.88
CA-2016-106075,Office Supplies,Binders,1,4.616
CA-2017-114440,Office Supplies,Paper,3,19.05
US-2015-134026,Furniture,Chairs,8,831.936
US-2015-134026,Furniture,Furnishings,2,97.04
US-2015-134026,Office Supplies,Storage,1,72.784
US-2017-118038,Office Supplies,Binders,3,1.248
US-2017-118038,Furniture,Furnishings,3,9.708
US-2017-118038,Office Supplies,Storage,3,27.24
US-2014-147606,Furniture,Furnishings,5,19.3
CA-2016-127208,Office Supplies,Appliances,1,208.16
CA-2016-127208,Office Supplies,Binders,3,16.74
CA-2014-139451,Office Supplies,Art,5,14.9
CA-2014-139451,Office Supplies,Storage,1,21.39
CA-2015-149734,Office Supplies,Envelopes,7,200.984
US-2017-119662,Office Supplies,Storage,3,230.376
CA-2017-140088,Furniture,Chairs,2,301.96
CA-2017-155558,Technology,Accessories,1,19.99
CA-2017-155558,Office Supplies,Labels,2,6.16
CA-2016-159695,Office Supplies,Storage,7,158.368
CA-2016-109806,Office Supplies,Art,3,20.1
CA-2016-109806,Technology,Phones,2,73.584
CA-2016-109806,Office Supplies,Paper,1,6.48
CA-2015-149587,Office Supplies,Paper,2,12.96
CA-2015-149587,Furniture,Furnishings,3,53.34
CA-2015-149587,Office Supplies,Binders,2,32.96
US-2017-109484,Office Supplies,Binders,1,5.682
CA-2017-161018,Furniture,Furnishings,7,96.53
CA-2017-157833,Office Supplies,Binders,3,51.312
CA-2016-149223,Office Supplies,Appliances,6,77.88
CA-2016-158568,Office Supplies,Paper,7,64.624
